district,school_name,poa_school_net,school_website,school_type_1,school_type_2,student_gender,religion,school_size,medium_of_instruction,through_train_sec_school,feeder_sec_school,nominated_sec_school,school_bus,nanny_van,fac_no_of_classroom,fac_no_of_school_hall,fac_no_of_playground,fac_no_of_library,fac_special_rooms,fac_support_for_specialedu,previous_year_tsi_no_of_approved_teaching_posts,previous_year_tsi_total_no_of_teachers,previous_year_tsi_percent_of_received_teacher_training,previous_year_tsi_percent_of_bacherlor,previous_year_tsi_percent_of_master_doctorate_or_above,previous_year_tsi_percent_of_special_edu_training,previous_year_tsi_percent_of_exp_0_4,previous_year_tsi_percent_of_exp_5_9,previous_year_tsi_percent_of_exp_10_or_above,previous_year_no_of_class_p1,previous_year_no_of_class_p2,previous_year_no_of_class_p3,previous_year_no_of_class_p4,previous_year_no_of_class_p5,previous_year_no_of_class_p6,previous_year_no_of_class_total,current_year_no_of_class_p1,current_year_no_of_class_p2,current_year_no_of_class_p3,current_year_no_of_class_p4,current_year_no_of_class_p5,current_year_no_of_class_p6,current_year_no_of_class_total,no_of_test_per_year_P1,no_of_exam_per_year_P1,replace_test_exam_P1,no_of_test_per_year_P2-P6,no_of_exam_P2-P6,upload_school_assessment_policy_to_school_web,upload_school_assignment_policy_to_school_web,school_starts_at,school_starts_at_AMPM,school_ends_at,school_ends_at_AMPM,school_major_concerns
Sai Kung,TWGHs Wong Yee Jar Jat Memorial Primary School,95,http://www.wyjjmps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,11130,Chinese,-,-,-,-,Yes,30,1,3,1,"Gymnasium, Piano Room, Art Gallery, English Kingdom,  General Studies Room, JJTV, Dance Room, Distance Learning Room, Maker Space, Coding Space, Health Education Resource Room","Ramp, Accessible lift and Accessible toilet.",55,57,95,98,33,65,17,10,73,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,1,Yes,0,3,Yes,Yes,8:00,AM,3:15,PM,1. Develop a diversified school-based curriculum to enhance the effectiveness of learning and teaching.<br>2. Cultivate students' correct values to lead a healthy life.<br>Please refer to school website - http://www.wyjjmps.edu.hk.
Sai Kung,Hong Kong and Macau Lutheran Church Primary School,95,http://www.hkmlcps.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,7000,Chinese(incl.: Putonghua) and English,-,-,HKMLC Queen Maud Secondary School,Yes,-,30,1,3,1,"20 special rooms: Language Room, STEAM Room, Computer Rooms, Visual Arts Centre, Dancing Room, Storytelling Room, Play Room, Speech therapy room etc.",Ramp and Accessible toilet.,56,57,98,100,19,58,21,32,47,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,2,Yes,0,2,No,No,8:00,AM,3:15,PM,"Learn and explore, let wisdom grow; <br>Think then act, let your light glow."
Southern,St. Peter's Catholic Primary School,18,http://www.spcps.edu.hk,Aided,Whole Day,Co-ed,Catholicism,6200,Chinese,-,St. Peter's Secondary School,-,Yes,-,24,1,1,1,"STREAM Multi-intelligence Learning Room, STEM+ Room, Tabletops Corner, Sports Zone, Science Room, Art Room, Religious Room, Music Room, Multi-Purpose Activity Room, English Room, P.E. Room, Counselling Room & Treatment Room","Ramp, Accessible lift and Tactile guide path plan.",39,39,87,100,33,61,15,15,70,3,3,3,3,4,4,20,2,3,3,3,3,4,18,0,2,Yes,0,3,Yes,Yes,8:00,AM,3:20,PM,1. To employ the five core values of Catholic education to advance value education and strengthen students' mental health.<br>2. To use a variety of learning modes to optimize learning and teaching and boost learning competency.
Southern,Aplichau Kaifong Primary School,18,http://www.akps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,6200,Chinese,-,-,-,Yes,-,25,1,2,1,"Inno Space, VR Cave, Multimedia Learning Room, Dance Studio, Sensory Integration Room, Library, Multipurpose Room, English Room, Music Room, Visual Arts Room, Parents' Resource Room, Counseling Room and Interview Room.",The school has a sensory integration room providing systematic sensory integration courses building positive adaptation reactions and encourages sensory integration in brain development.,20,24,79,96,54,79,25,21,54,1,1,1,1,2,2,8,0,1,1,1,1,2,6,0,0,Yes,0,2,Yes,Yes,8:15,AM,3:30,PM,"1. Leverage student diversity to enhance learning performance.<br>2. Foster positive values in students, and strengthen and consolidate their positive behaviors. "
Southern,Precious Blood Primary School (South Horizons),18,http://www.pbpssh.edu.hk,Aided,Whole Day,Co-ed,Catholicism,9129,Chinese,-,-,-,Yes,-,24,1,2,1,"Campus TV Control Room, Dancing Room, Prayer Room, English Room, General Studies Room, Music Room, Visual Art Room, Computer Room, STEAM Room, Special Teaching Room, etc.","Accessible lift, Accessible toilet, Braille and tactile floor plan, Tactile guide path and Accessible public information / service counter.",45,45,100,100,41,87,11,28,61,4,4,4,4,4,4,24,4,4,4,4,4,4,24,1,1,Yes,2,1,Yes,Yes,8:05,AM,3:15,PM,"1. To expand the realm of reading, promote a reading atmosphere and broaden disciplinary knowledge. <br>2. To cultivate positive thinking and reinforce value education, and thus the healthy development of our students."
Southern,S.K.H. Chi Fu Chi Nam Primary School,18,http://www.skhcfcn.edu.hk/,Aided,Whole Day,Co-ed,Protestantism / Christianity,2835,Chinese,-,-,-,Yes,Yes,24,1,3,1,"STEM Lab, English Activity Room, IT Room, Medical Room, Music Room, Art Room, Remedial-teaching Classroom, Campus TV, Counselling Room , Green Garden and Conference Room. ","Ramp, Accessible lift and Accessible toilet.",32,38,96,100,30,71,72,8,20,1,2,2,4,3,3,15,2,1,2,2,4,3,14,0,0,Yes,0,3,Yes,Yes,8:00,AM,3:15,PM,"1. Cultivate student reading habit by enriching the reading environment. Equip them with the self-directed learning. To enhance one's reading capacity learning to life-long learning and empower own's national identity.<br>2. Nurture students' positive values and attitudes. Be capable of enhancing self-management skill, leading a healthy and self-confident life."
Southern,St. Paul's Co-educational College Primary School,/,http://www.spccps.edu.hk,DSS,Whole Day,Co-ed,Protestantism / Christianity,16000,Chinese,St. Paul's Co-educational College,-,-,-,Yes,30,1,2,1,"Hall, Swimming Pool, Canteen, Laboratory, Fencing Room, Dancing Room, Innotech Room, Visual Arts Rooms, Music Rooms, Chapel, Table Tennis Room, Multi-purpose Hall.","Ramp, Accessible lift and Accessible toilet.",-,99,100,100,53,35,41,12,47,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,2,Yes,0,3,Yes,Yes,8:00,AM,3:00,PM,1. Guide St. Paul’s students to leverage their character strengths in cultivating self-love and perseverance.<br>2. Explore new educational technologies to enhance students' ability to manage their learning.
Southern,Hong Kong Southern District Government Primary School,18,http://www.hksdgps.edu.hk,Gov't,Whole Day,Co-ed,Not Applicable,4840,Chinese,-,-,"King's College, Belilios Public School, Clementi Secondary School,<br>Tang Shiu Kin Victoria Government School",Yes,-,24,1,2,1,"English Room, General Studies Room, Music Room, Visual Arts Room,<br>Computer Room, STEM Room, Dancing Room, School Campus TV.",Accessible lift and Accessible toilet.,44,46,100,100,39,86,6,20,74,4,4,4,4,4,4,24,4,4,4,4,4,4,24,1,1,Yes,2,2,No,No,8:20,AM,3:25,PM,"1. Promote innovative teaching methodologies, foster student-centred learning, enrich diverse learning experiences, enhance students' self-confidence, and prepare them for the future.<br>2. Broaden students' horizons, cultivate a positive life attitude, and nurture students to become responsible citizens of the new generation."
Southern,Precious Blood Primary School (Wah Fu Estate),/,http://www.pbps.edu.hk,Aided,Whole Day,Co-ed,Catholicism,3361,Chinese,-,-,-,-,-,24,1,1,1,"Music Rooms, Computer Rooms, Visual Arts Room, Religious Room, General Studies Room, English room, Student Activity Centre, Campus TV studio, STEM Room, Library, Religious Activity Room, Chinese Culture Room, Game Room.",Accessible lift and Accessible toilet.,19,26,100,100,80,68,27,15,58,0,1,1,2,2,2,8,0,0,1,1,2,2,6,0,0,No,2,2,Yes,Yes,8:00,AM,3:15,PM,"1. Arrange class time flexibly and provide students with diverse learning activities.<br>2. Strengthen students' physical, mental and spiritual health."
Southern,S.K.H. Tin Wan Chi Nam Primary School,18,http://www.tcn.edu.hk/,Aided,Whole Day,Co-ed,Protestantism / Christianity,5300,Chinese,-,-,-,Yes,Yes,30,1,3,1,"STEAM Room, Music Room, Visual Arts Room, General Studies Room, Remedial Teaching Room, Computer Room, Play Therapy Room, Place of Worship, English Room, Mathematics Learning Centres, Campus TV Studio, Library, Student Activity Centre, PTA Resource Centre, Parents' Corner. ","Ramp, Accessible lift, Accessible toilet, Tactile guide path, Accessible public information / service counter and Visual fire alarm system.",58,60,100,100,45,63,15,25,60,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,3,Yes,0,3,Yes,Yes,7:50,AM,3:10,PM,"1. To nurture students to become reflective learners, who persistently strive to thrive at their own pace and, so as to meet the ever-changing needs of the future. <br>2. To let our students live an active and healthy life by strengthening students' positive values in a positive school culture. *Priority Values – Love & Filial Piety, Humility & diligence #Motto of the Year: Positive Mindset Powers Growth and Creates a Bright Future. "
Southern,TWGHs Hok Shan School,18,http://www.hokshan.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,5000,Chinese & English,-,-,-,Yes,-,24,1,2,1,"eSports Space, Dream Builder Space (STEAM Room), Computer Room, Hok Shan Campus TV, English Activity Room, Library, Mathematics Room, Music Room, Dance Room, Visual & Arts Room, Multi-purpose Room.","Ramp, Accessible lift, Accessible toilet and Accessible public information / service counter.",32,37,89,68,29,65,32,30,38,2,2,2,3,3,3,15,1,2,2,2,3,3,13,0,0,Yes,0,3,No,No,8:10,AM,3:30,PM,"1. Making good use of learning time, creating space, and showcasing potential.<br>2. Cultivating students to become ""good students"" who love their school, themselves, and others."
Southern,St. Stephen's College Preparatory School,/,http://www.sscps.edu.hk,Private,Whole Day,Co-ed,Protestantism / Christianity,20000,English,-,St. Stephen's College,-,-,Yes,30,1,4,1,"Music Rooms, VA Room, Computer Room, Campus TV Station, STEM Lab, Prayer Room, Music Instrument Practice Rooms, Multi-purpose Activity Rooms etc.","Ramp, Accessible lift and Accessible toilet.",-,57,100,100,57,0,41,13,46,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,2,No,0,2,No,No,8:10,AM,3:20,PM,The school cultivates sound virtues and a positive mindset by providing a whole-person education that focuses on developing and utilising every student's potential.
Southern,Aberdeen St. Peter's Catholic Primary School,18,http://www.aspcps.edu.hk,Aided,Whole Day,Co-ed,Catholicism,5300,Chinese,-,St. Peter's Secondary School,-,Yes,-,30,1,3,1,"English Room, Computer Room, Music Room, Dancing Room, Religious Room, Flexible Learning Room, etc.","Ramp, Accessible lift, Accessible toilet, Braille and tactile floor plan and Tactile guide path plan.",53,56,100,96,36,73,6,11,83,4,4,5,5,5,5,28,4,4,4,5,5,5,27,0,2,Yes,0,3,Yes,Yes,8:15,AM,3:30,PM,"1. To enhance students' generic skills by aligning with the development of the school-based curriculum.   <br>2. To assist students in setting  aspirations and fostering good learning habits through implementing the ""The Stars of ASPCPS"" Talent Educational Program."
Southern,Pui Tak Canossian Primary School,18,https://www.ptcps.edu.hk,Aided,Whole Day,Co-ed,Catholicism,1756,Chinese,-,-,Pui Tak Canossian College,Yes,-,12,1,1,1,"STEM Room, Activity Room, Multi-purpose Room, Music Room, English Room, Conference Rooms, Medical and Guest Room, Reading Café, Pui Yung Court, Prayer Room, Speech Therapy Room, Chill Corner and InnoTech Lab. Classrooms are equipped with interactive blackboard and WiFi. ",Accessible lift and Frequency Modulation (FM) System.,21,22,96,100,55,68,5,5,90,1,1,2,1,2,2,9,1,1,1,2,1,2,8,0,2,Yes,0,3,Yes,Yes,8:00,AM,3:20,PM,"Be grateful and treasure what we have, stay positive and optimistic. (2024-2025)"
Sham Shui Po,St. Francis of Assisi's English Primary School,/,https://www.sfaeps.edu.hk,Private,Whole Day,Co-ed,Catholicism,2000,Chinese & English,-,-,-,Yes,Yes,24,1,2,1,"Gifted Education Resource Centre, Visual Art Room, ITLC, Music Room, Conference Room and Student Guidance Room.",Gifted Educational Resource Centre.,-,47,87,100,57,100,36,38,26,5,5,4,4,3,3,24,5,5,4,4,3,3,24,0,3,No,0,3,No,No,7:50,AM,2:45,PM,-To build and develop strong and respectable character in our students grounded on the five Core Values of Catholic Education; Service Leadership Education; and Gifted Education;<br>-To maximize students’ involvement in being beneficiaries of a holistic curriculum characterised by the principles of Blended learning and Affective Education;<br>-To continue the strengthening and refining of students’ presentation skills by cultivating a strong English and Putonghua environment. 
Sham Shui Po,Sham Shui Po Government Primary School,40,http://www.sspgps.edu.hk,Gov't,Whole Day,Co-ed,Not Applicable,5679,Chinese,-,-,"Tsuen Wan Government Secondary School, <br>Homantin Government Secondary School, <br> Jockey Club Government Secondary School, Kowloon Technical School",Yes,-,30,1,2,1,"Computer Room, Steam Room, Activity Room, English Reading Room, Visual Arts Room, Music Room, Inclusive Education Centre, PTA Resource Centre, Medical Inspection Room, etc.","Ramp, Accessible lift and Accessible toilet.",52,54,100,100,43,90,8,17,75,4,5,4,5,5,5,28,2,4,5,4,5,5,25,0,0,Yes,2,2,Yes,Yes,8:10,AM,3:05,PM,"Adaptive class structures and teaching modes for learners' diversity, self-learning, cultivate position values, mental health and wide-ranging development programmes for holistic growth."
Sham Shui Po,Cheung Sha Wan Catholic Primary School,40,https://cswcps.edu.hk,Aided,Whole Day,Co-ed,Catholicism,6500,Chinese,-,-,-,Yes,-,30,1,2,1,"Music room, General Studies room, Art room, computer room, language room, STEM room, Leap Classrooms, Prayer room, Conference room, Multi-purpose Room.","Ramp, Accessible lift, Accessible toilet, Tactile guide path and Temporary Refuge Space.",56,58,100,98,47,67,14,28,58,5,5,6,5,5,4,30,4,5,5,6,5,5,30,0,1,Yes,0,3,Yes,Yes,8:10,AM,3:25,PM,"1. Nurture students’ understanding of positive values and attitudes and encourage the upholding of said values.<br>2. Enhance students’ overall self-directed learning capabilities, sense of self-efficacy and autonomy."
Sham Shui Po,S.K.H. St. Clement's Primary School,40,http://www.skhscps.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,1520,Chinese,-,-,-,Yes,-,26,1,1,1,"Central Library, Music Room, Art Room, Student Activity Centre, Information Technology Room, English Room, Speech Therapy Room, Counselling Room, Group Teaching Room, Prayer Room, multi-purpose classroom",Accessible lift and Accessible toilet.,50,56,100,100,33,74,13,30,57,4,4,4,4,5,4,25,4,4,4,4,4,5,25,0,4,No,0,4,Yes,Yes,8:00,AM,3:15,PM,1. Deepen the school reading culture and arouse students' interest in reading. (Promote Reading Culture)<br>2. Cultivate students' motivation and awareness of self-directed learning. (Enhance Self-directed Learning Skills)<br>3. Strengthen the cultivation of students' good morals and positive values and continue to develop a positive campus atmosphere. (Cultivate Positive Values)
Sham Shui Po,Shamshuipo Kaifong Welfare Association Primary School,40,http://sspkw.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,1000,Chinese,-,-,-,-,-,12,1,1,1,"English Room, Music Room, Science Room, STEAM Room, Library, V.A Room, Multi-purpose Room, Activity Room, Meeting Room, Well-being Room.",-,26,28,100,100,25,54,14,13,73,2,2,2,2,2,2,12,1,2,2,2,2,2,11,1,1,Yes,1,2,Yes,Yes,8:00,AM,3:30,PM,1. Enhancing student learning through blended learning.<br>2. Facilitating a positive classroom culture
Sham Shui Po,Fuk Wing Street Government Primary School,40,http://www.fwsgps.edu.hk,Gov't,Whole Day,Co-ed,Not Applicable,4112,Chinese,-,-,"Tsuen Wan Government Secondary School, <br>Homantin Government Secondary School, Kowloon Technical Secondary School, Jockey Club Government Secondary School",-,-,24,1,1,1,"English Room, Computer Room, Visual Art Room, Music Room, Counselling Room, Multi-activity Room, Multi-purpose Room, Playroom, Campus TV, STEM Room.",Ramp and Accessible restroom.,44,47,100,93,34,72,2,18,80,3,4,4,4,4,4,23,3,3,4,4,4,4,22,0,0,Yes,0,3,Yes,Yes,8:15,AM,3:15,PM,1. Enhancing teaching and learning and continuously developing students' self-directed learning and inquiry skills.<br>2. Fostering a positive lifestyle and enhancing students' physical and mental well-being.
Sham Shui Po,"Alliance Primary School, Tai Hang Tung",40,http://www.apstht.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,2410,Chinese,-,-,-,-,Yes,24,2,2,2,"Computer Rooms, Music Rooms(STEAMROOM), English Rooms, Counselling Rooms, Activity Room, Happiness Recharge Rooms, English Cafe, Dancing Room and Small Group Room.",Accessible lift and Accessible toilet.,50,53,96,100,42,53,13,17,70,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,0,Yes,3,3,Yes,Yes,8:15,AM,3:15,PM,"1. Students can comprehensively apply the required abilities to meet the ""Alpha Generation""<br>2. To nurture students to become a healthy new generation with both talent and moral integrity"
Sham Shui Po,The ELCHK Faith Lutheran School,40,http://www.fls.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,4900,Chinese,-,-,-,Yes,-,36,2,2,2,"- We have music room, library, English room, fencing hall, Esports Bike Arena and computer room. <br>- 'Centre of National History Education' and the FLS 360° (main campus)",The school has accessible toilets and accessible lift in the main campus.,43,43,98,100,33,74,21,21,58,2,2,2,4,6,6,22,2,2,2,2,4,6,18,0,2,Yes,0,3,Yes,Yes,8:20,AM,3:20,PM,Co-planning and peer lesson observation for different subjects are organized in order to design well planned lesson to cater for students' learning diversity. Students will have more chance to participate in the lesson. Scaffolding is provided to help students to build up subject knowledge and skills by themselves.
Sham Shui Po,HK Sze Yap C&IA San Wui Commercial Society School,40,http://www.sycias.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,500,Chinese,-,-,HKSYCIA Wong Tai Shan Memorial College,-,Yes,13,1,1,1,"Multi-Purpose Room, Computer Room, Playroom, Small Group Teaching Rooms, Social Worker's Room, etc.","Ramp, Accessible lift and Accessible toilet.",29,33,88,100,33,68,30,40,30,2,2,2,2,3,2,13,1,2,2,2,2,3,12,0,2,Yes,0,2,Yes,Yes,8:00,AM,3:05,PM,1. Enriching students' cross-curricular learning experiences and equipping them with problem-solving skills.<br>2. Cultivating students' positive values and consolidating their appreciation and inheritance of Chinese culture.
Sham Shui Po,Maryknoll Fathers' School (Primary Section),40,https://www.mfsp.edu.hk,Aided,Whole Day,Co-ed,Catholicism,7630,Chinese,-,Maryknoll Fathers' School,-,Yes,Yes,24,1,4,1,"10 rooms (Computer Room, Multi-Purpose Room, Student Activity Centre, Library, Music Room, Coding and Art Room, STREAM Room etc.)","Ramp, Accessible lift, Accessible toilet and Tactile guide path plan.",45,48,100,100,48,78,31,11,58,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,3,No,0,3,Yes,Yes,8:15,AM,3:15,PM,"1. Cultivating students to become confident self-directed learners. <br>2. Nurturing students to pursue truth, uphold self-discipline and unity, and embody the spirit of Christ. "
Sham Shui Po,St. Francis of Assisi's Caritas School,40,http://www.sfacs.edu.hk,Aided,Whole Day,Co-ed,Catholicism,4700,Chinese(incl.: Putonghua) and English,-,-,Cheung Sha Wan Catholic Secondary School,Yes,-,24,1,1,1,"SFACS Learning Hub, CoolThink@ JC Studio, Maker Space, Campus TV, Prayer Room, English Activity Room, Library, Music Room, Art Room, Computer Room, Small Group Teaching Room, etc.","Ramp, Accessible lift, Accessible toilet and Tactile guide path plan.",48,51,100,98,40,60,12,14,74,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,2,Yes,0,3,Yes,Yes,8:05,AM,3:10,PM,"1. Nurture students to become knowledgeable, courteous individuals who possess global perspectives and exemplify the grace and love of the Lord.<br>2. Enhance language proficiency and expand learning horizons, with the nation as the foundation, towards an international future."
Sham Shui Po,Good Counsel Catholic Primary School,40,http://www.gccps.edu.hk,Aided,Whole Day,Co-ed,Catholicism,2000,Chinese,-,-,-,Yes,-,24,1,2,1,"Multi-function rooms, Campus TV control room, music rooms, English room, STEM  Room, etc.",,45,48,96,100,27,57,17,16,67,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,2,Yes,0,3,No,No,7:50,AM,3:25,PM,1. Cultivate in students positive values with Jesus. Nurture students to become virtuous and talented citizens with the sense of national identity.<br>2. Strive to cater learning diversity. Explore students' potential and talents.
Sham Shui Po,Hoi Ping Chamber of Commerce Primary School,40,http://www.hpccps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,1603,Chinese(incl.: Putonghua),-,-,-,Yes,Yes,25,1,1,1,"Conference Room, Visual Art Room, Computer Room, Computer and STEAM Multi-purpose Room, Music Room, Dancing Room, Library, Speech Therapy Room, Social Worker's office and 3 Guidance Rooms.","Ramp, Accessible lift, Accessible toilet and Accessible public information / service counter.",47,50,100,100,40,23,17,15,68,4,5,4,4,4,4,25,4,4,5,4,4,4,25,2,2,No,2,2,No,No,8:10,AM,3:00,PM,"1. Promote values education to enhance students' sense of national identity.<br>2. Develop innovative technology education to cultivate students' inquiry skills, problem-solving skills, logical thinking and creativity."
Sham Shui Po,Ka Ling School of The Precious Blood,40,http://www.kalingpb.edu.hk,Aided,Whole Day,Co-ed,Catholicism,6400,Chinese(incl.: Putonghua) and English,-,-,-,Yes,-,30,1,2,1,"English Centre, 2 Computer Rooms, Canteen, General Studies Room, Visual Art Room, Maths Room, 2 Music Rooms, Counseling Room, Prayer Room, Campus TV Station, Creative STEM Room, School History Gallery.","Ramp, Accessible lift and Accessible toilet.",59,59,100,100,32,57,17,26,57,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,2,Yes,0,3,Yes,Yes,7:55,AM,3:15,PM,1. Deepen self-directed learning and improve learning efficiency.<br>2. Practise the virtues of Ka Ling School and cultivate students’ correct values.
Sham Shui Po,Laichikok Catholic Primary School,40,http://www.lcps.edu.hk,Aided,Whole Day,Co-ed,Catholicism,6206,Chinese,-,-,-,Yes,Yes,30,1,4,1,"Reading Room, School Library, Music Room, Dance Room, Visual Art Room, Prayer Room, STEM LAB, Computer Rooms, Student Counselling Room, Teaching resources room.","Ramp, Accessible lift and Accessible toilet.",58,65,100,98,45,72,16,15,69,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,2,Yes,0,2,No,Yes,8:00,AM,3:30,PM,"1. Embracing Chinese Culture, Fostering Young Minds.<br>2. Promote students' physical, mental and spiritual well-being achieve a confident and healthy life."
Sham Shui Po,Li Cheng Uk Government Primary School,40,http://www.lcu.edu.hk,Gov't,Whole Day,Co-ed,Not Applicable,4062,English,-,-,Sir Ellis Kadoorie Secondary School (West Kowloon),Yes,-,26,1,2,1,"Science Lab, Visual Arts Room, Music Room, Computer Lab, STEAM Lab, Counselling Room, Student Activity Centre, Parents' Corner, Interview Room.",Accessible lift and Accessible toilet.,46,51,98,100,28,69,8,15,77,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,2,Yes,0,3,No,No,8:30,AM,3:30,PM,"2025-2026 School's major concerns:<br>1. Developing students' passion and capability for learning<br>2. Nurturing students to become positive, self-disciplined and healthy individuals"
Sham Shui Po,S.K.H. Kei Fook Primary School,40,http://www.keifook.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,8000,Chinese,-,-,-,Yes,Yes,36,1,3,1,"3 English rooms, 3 Small-group Classrooms, 2 Computer-assisted Learning Rooms, 2 Music Rooms, Mindfulness Room, Play Therapy Room, Visual Arts Room, Students' Activity Centre, School Campus TV, STEAM Room, MI Lab.","Ramp, Accessible lift and Accessible toilet.",70,71,100,99,37,65,14,13,73,6,6,6,6,6,6,36,6,6,6,6,6,6,36,0,2,Yes,0,3,Yes,Yes,8:00,AM,3:20,PM,1. To enhance students' personal qualities and shape positive resilience character.<br>2. To develop common competencies comprehensively to promote autonomous learning growth.
Sham Shui Po,S.K.H. Kei Oi Primary School,40,http://www.keioi.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,1630,Chinese(incl.: Putonghua) and English,-,-,-,Yes,-,25,1,1,1,"Multi-intelligence learning room, Visual Art room, Computer room, School Campus TV room, CoolThink Programming Classroom, English Room, Parents’ resources room, Music room, History Gallery, Mental Health Corner","Small-class Teaching Rooms, Speech Therapy Room.",49,54,100,100,33,69,2,22,76,4,4,4,4,5,4,25,4,4,4,4,4,5,25,0,0,Yes,0,3,Yes,Yes,8:00,AM,3:15,PM,"1. Stimulate students' learning confidence through exploring their creativity.<br>2. Live a healthy and fruitful life with the love of the country, family and self."
Sham Shui Po,S.K.H. St. Andrew's Primary School,40,http://www.skhstandrews.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,6528,Chinese,-,-,-,Yes,-,36,2,3,1,"Computer Rooms (2), Music Rooms (3), Visual Arts Room, STEAM Room, Student Activity Centre, Multi-purpose Rooms (4), English Wonderland, plaYcid (play room and placid room), Leung Chik Wai Multi-purpose Hall.","Ramp, Accessible lift, Accessible toilet and Tactile guide path plan.",71,73,100,100,40,53,4,16,80,6,6,6,6,6,6,36,6,6,6,6,6,6,36,0,3,No,0,3,No,Yes,8:30,AM,3:35,PM,1. Optimize learning and teaching so that students can enjoy learning.<br>2. Help students develop positive values and have a healthy life.
Sham Shui Po,S.K.H. St. Thomas' Primary School,40,https://www.skhstthomas.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,4124,Chinese(incl.: Putonghua),-,-,-,Yes,-,18,1,2,1,"English room, STEAM Centre, Science & Computer room, Language Hub, Library, Chapel, Music room, Visual Art room, Student activity centre, small group teaching room, etc.","Ramp, Accessible lift and Accessible toilet.",38,40,97,100,30,75,20,27,53,3,3,3,3,3,3,18,3,3,3,3,3,3,18,0,0,Yes,0,3,Yes,Yes,8:00,AM,3:15,PM,"1. Optimize learning and teaching, cultivate comprehensive literacy and become learners who pursue excellence.<br>2. Promote values education, live a healthy life, and become a global-minded citizen."
Sham Shui Po,Ying Wa Primary School,/,http://www.yingwaps.edu.hk/,DSS,Whole Day,Boys,Protestantism / Christianity,14000,Chinese,Ying Wa College,-,-,Yes,Yes,30,1,1,1,"Exhibition Hall, Art Room, STEAM LAB, Dream Workshop, General Studies Room, English Room, two Music Rooms and a Recording Studio.)","Accessible lift, Accessible toilet, Tactile guide path and Barrier-free access<br>.",-,65,97,100,40,6,17,24,59,5,5,5,5,5,5,30,5,5,5,5,5,5,30,2,0,Yes,3,0,Yes,Yes,8:00,AM,2:30,PM,"1. To promote moral education, reinforcing heartful and well-mannered behaviours;<br>2. Promoting Self-Directed Learning and catering for learner diversity;<br>3. To build a ""Smart School"" through administration and teaching."
Sham Shui Po,Chan's Creative School,/,http://www.ccs.edu.hk,Private,Whole Day,Co-ed,Protestantism / Christianity,3800,Chinese,-,-,-,Yes,-,24,1,2,1,"Stem Room, Visual Arts Room, Pottery and Carving Room, Music Room, Science and Technology Room, Drama lab, covered playgrounds, counselling room English room, library and over ten activity rooms.",Accessible lift.,-,38,100,90,35,0,40,18,42,4,3,3,3,3,3,19,4,4,3,3,3,3,20,3,0,Yes,3,0,Yes,Yes,8:00,AM,3:10,PM,1. Establishing a culture of peer learning and support.<br>2. Optimizing classroom design and strategies.<br>3. Practicing resilience and gratitude in daily life. Cultivate self-discipline and self-reflection in students.<br>
Sham Shui Po,Delia English Primary School & Kindergarten,/,http://www.deliagroup.edu.hk,Private,Whole Day,Co-ed,Not Applicable,1300,English,-,-,-,-,Yes,17,1,1,1,"3 (Computer Room, Music Room and Multipurpose Room).",-,-,30,96,100,16,0,68,11,21,2,2,2,2,2,3,13,2,2,2,2,2,2,12,2,2,Yes,2,2,Yes,Yes,8:00,AM,3:20,PM,"Nurture students' self-discipline, self regulating skills and care for others; develop students' leadership potential for contribution to society."
Sham Shui Po,Kowloon Rhenish School,/,http://www.krs.edu.hk,Private,Whole Day,Co-ed,Protestantism / Christianity,4207,Chinese(incl.: Putonghua) and English,-,-,-,-,Yes,18,1,1,1,"2 IT rooms, multi-media production room, visual arts room, music room, counselling room, multi-function room.",Accessible lift.,-,32,100,100,28,3,9,10,81,4,4,3,3,2,2,18,4,3,3,3,3,2,18,2,2,No,2,2,No,No,7:50,AM,3:15,PM,1. STEAM Education  2. Reading across curriculum  3. Values Education 4. National Education
